id,bus,underground,taxi
120,0,0,121144
121,0,0,145120122
122,123144,0,121123146
123,124122144,0,124122137
124,123153111,0,138123111
144,163122,0,145120177
145,0,0,121146144
146,0,,122147163122
147,,,146137164
137,,,123147
163,144191176,153111,146164178177144
164,,,178147148179
148,,,149123164
165,180191123,,179180151
149,,,148150123
150,,,138149151
138,,,124150152
151,,,152165166
152,,,138153151
176,190163,,177189
177,,,144163176
189,,,176190178
178,,,191163164
190,191176180,,189192191
192,,,191194190
191,190163165,,190179192
179,,,164191165
180,165190153,,165181193
181,,,180182193166
182,,,195181183
183,,,182167196166
166,,,181183151153
153,180154124,163111185140,152139166167
167,,,183168153155
168,,,167155184
193,,,194180181
194,,,193195192
195,,,182194197
196,,,197183184
197,,,184196195
155,,,168156154
154,153140156,,155153140139
139,,,153130140154
130,,,131124139
131,,,125130114
125,,,131112113
111,124100,153163,112124
156,157154140184,,169155157140
169,,,184156
184,156185180153,,168196197185
185,184157187,153128,170184186
198,,,186159187199
186,,,159185198
170,,,157159185
157,185156133142,,158170156
140,154133156,153128,133154156132
132,,,114140
112,,,111100125
113,,,100125114
100,111,,112113101
101,,,114100
114,,,131115126132
126,,,114115140127
115,,,126127114
104,,,116
88,,,117
105,108107,,108106
106,,,107105
107,105161,,106119
119,,,108136107
108,105135116,,105117119
117,,,12911610888
116,142127108,,117127118104
127,116133,,133134116115
133,140127157,,141140127
199,128161,,188171198
171,,,173199175
175,,,174162171
162,,,136175
136,,,162135119
135,161187108,,143129161136
129,,,117135118143142
118,,,134116129142
134,,,127141142118
141,,,133158134142
158,,,157142159141
159,0,,186198170158172
187,185128,,172198188
188,0,,199187173128
173,0,,188171160174
174,0,,175173161
161,128135199107,,160136135174
160,0,,128143173161
128,187142161199,140185,172188160143142
143,0,,135142160129
142,128157116,,158134118141128
