,origin,destination,transport,value
0,120,121,2,0
1,120,144,2,0.080461637
2,121,145,2,0.074765461
3,121,120,2,0
4,121,122,2,2.42E-05
5,122,123,0,0.460122299
6,122,144,0,0
7,122,121,2,0
8,122,123,2,0
9,122,146,2,0
10,123,124,0,0.490072352
11,123,122,0,0.385432109
12,123,144,0,0.201234567
13,123,165,0,0.437654321
14,123,124,2,0.127654321
15,123,122,2,0.29456789
16,123,137,2,0.410123456
17,123,148,2,0.07654321
18,123,149,2,0.498765432
19,124,123,0,-0.235934503
20,124,153,0,0
21,124,111,0,0
22,124,138,2,0.190406353
23,124,123,2,0
24,124,111,2,0
25,144,163,0,0.251370823
26,144,122,0,0
27,144,145,2,0
28,144,120,2,0
29,144,177,2,0
30,145,121,2,-0.088881822
31,145,146,2,0.238907654
32,145,144,2,0.107654321
33,146,122,2,0.301234567
34,146,147,2,0.182345678
35,146,163,2,0.323456789
36,146,145,2,0.254321987
37,147,146,2,0.07654321
38,147,137,2,0.298765432
39,147,164,2,0.289012345
40,137,123,2,0.31456789
41,137,147,2,0.132456789
42,163,144,0,0.000147802
43,163,191,0,0
44,163,176,0,0
45,163,153,1,0.516598337
46,163,111,1,0
47,163,146,2,0
48,163,178,2,0
49,163,177,2,0
50,163,144,2,0
51,164,178,2,-0.080550598
52,164,147,2,0
53,164,148,2,0
54,164,179,2,0
55,148,149,2,0
56,148,123,2,0
57,148,164,2,0
58,165,180,0,0.087876894
59,165,191,0,-0.355389077
60,165,123,0,0
61,165,179,2,0
62,165,180,2,0
63,165,151,2,0.000219645
64,165,149,2,0
65,149,148,2,0
66,149,150,2,0
67,149,123,2,0
68,149,165,2,0
69,150,138,2,-0.002131264
70,150,149,2,0
71,150,151,2,0
72,138,124,2,-0.114583443
73,138,150,2,-0.06119784
74,138,152,2,0.145840664
75,151,152,2,0.368519616
76,151,165,2,0
77,151,166,2,0
78,151,150,2,0
79,152,138,2,-0.139058624
80,152,153,2,0.18865023
81,152,151,2,0
82,176,190,0,0
83,176,163,0,0.372672769
84,176,177,2,0
85,176,189,2,0
86,177,144,2,0
87,177,163,2,0
88,177,176,2,0
89,189,176,2,-0.026750478
90,189,190,2,0
91,189,178,2,0
92,178,189,2,0
93,178,163,2,-0.039632224
94,178,164,2,0.000280896
95,190,191,0,0
96,190,176,0,0
97,190,180,0,0.000525335
98,190,189,2,0
99,190,192,2,0
100,190,191,2,0
101,192,191,2,0
102,192,194,2,0
103,192,190,2,0
104,191,190,0,0
105,191,163,0,0
106,191,165,0,0.68538002
107,191,190,2,0
108,191,179,2,0
109,191,192,2,0
110,191,178,2,0.145840664
111,179,164,2,0.368519616
112,179,191,2,0
113,179,165,2,0
114,180,165,0,-0.016375101
115,180,190,0,-0.667648485
116,180,153,0,0.251206886
117,180,184,0,0
118,180,165,2,0
119,180,181,2,0
120,180,193,2,0
121,181,180,2,-0.204230539
122,181,182,2,0
123,181,193,2,-0.016090211
124,181,166,2,0
125,182,195,2,-0.105510147
126,182,181,2,-0.042969972
127,182,183,2,0.000113462
128,183,182,2,-0.228645088
129,183,167,2,0.16350478
130,183,196,2,-0.084367978
131,183,166,2,0
132,166,181,2,0
133,166,183,2,0
134,166,151,2,0
