,Date,Caught,Rounds,C,W,Alpha_normal,Gamma_normal,Alpha_reveal,Gamma_reveal,Coverage,Comments
0,16/08/2023,FALSE,24,0.2,50,0.1,0.9,0.1,0.9,0.128865979,Normal
1,16/08/2023,TRUE,3,0.2,50,0.1,0.9,0.1,0.9,0.025773196,Normal
2,16/08/2023,FALSE,24,0.9,50,0.1,0.9,0.1,0.9,0.145665979,Normal
3,16/08/2023,TRUE,4,0.2,50,0.1,0.9,0.1,0.9,0.033505155,Normal-loc_cat_reward
4,16/08/2023,FALSE,24,0.2,50,0.1,0.9,0.1,0.9,0.144329897,Normal-loc_cat_reward
5,16/08/2023,TRUE,9,0.2,50,0.1,0.9,0.1,0.9,0.069587629,Normal-loc_cat_reward
6,16/08/2023,TRUE,9,0.2,50,0.1,0.9,0.1,0.9,0.069587629,Normal-loc_cat_reward
7,17/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.144329897,Normal-coverage_reward
8,17/08/2023,TRUE,7,0.2,50,0.1,0.9,0.5,0.9,0.051546392,Normal-coverage_reward
9,17/08/2023,TRUE,15,0.2,50,0.1,0.5,0.5,0.9,0.111546392,Normal-coverage_reward
10,17/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.9,0.167329897,Normal-coverage_reward
11,17/08/2023,FALSE,24,0.2,50,0.1,0.5,0.5,0.9,0.145687698,Normal-loc_cat_reward
12,17/08/2023,TRUE,6,0.2,50,0.1,0.9,0.5,0.9,0.051546392,Normal-coverage_reward
13,17/08/2023,TRUE,4,0.2,50,0.1,0.9,0.5,0.9,0.030927835,Normal-location_reward
14,17/08/2023,TRUE,1,0.2,50,0.1,0.9,0.5,0.9,0.010309278,Normal-location_reward
15,17/08/2023,TRUE,19,0.2,50,0.1,0.9,0.5,0.9,0.095360825,Normal-location_reward
16,17/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.154329897,Normal-coverage_reward
17,17/08/2023,TRUE,7,0.2,50,0.1,0.9,0.5,0.9,0.063546392,Normal-coverage_reward
18,18/08/2023,TRUE,15,0.2,50,0.1,0.9,0.5,0.9,0.125546392,Normal-coverage_reward
19,18/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.16563299,Normal-coverage_reward
20,18/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.144677698,Normal-loc_cat_reward
21,18/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.136597938,Results_data
22,18/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.144329897,Results_data
23,18/08/2023,TRUE,4,0.2,50,0.1,0.9,0.5,0.9,0.036082474,Results_data
24,18/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.157216495,Results_data
25,18/08/2023,TRUE,8,0.2,50,0.1,0.9,0.5,0.9,0.06185567,Results_data
26,18/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.131443299,Results_data
27,18/08/2023,TRUE,6,0.2,50,0.1,0.9,0.5,0.9,0.061237113,Results_data
28,19/08/2023,TRUE,4,0.2,50,0.1,0.9,0.5,0.9,0.04369354,Results_data
29,19/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.146907216,Results_data
30,19/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.132907216,Results_data
31,19/08/2023,FALSE,24,0.2,50,0.1,0.9,0.5,0.9,0.152061856,Results_data
32,19/08/2023,TRUE,21,0.2,50,0.1,0.9,0.5,0.9,0.108247423,Results_data
33,19/08/2023,TRUE,11,0.2,50,0.1,0.9,0.5,0.9,0.085051546,Results_data
34,19/08/2023,TRUE,20,0.2,50,0.1,0.9,0.5,0.9,0.134020619,Results_data
35,19/08/2023,TRUE,4,0.2,50,0.1,0.9,0.5,0.9,0.063237113,Results_data
36,20/08/2023,FALSE,24,0.2,50,0.9,0.9,0.9,0.9,0.152061856,Sens_high_alpha
